,Unnamed: 0,start station id,start station name,start station latitude,start station longitude,covid_cases,trip count,tripduration_sum(mins),tripduration_mean(mins),usertype_member_count,geometry
1728,1728,5024.1,Water St &  Fletcher St,40.706410755236135,-74.00559738278389,0.24284414576125785,0.12142468210499344,571414.0155,80771.1511,21121.0,POINT (-74.00559738278389 40.70641075523613)
1729,1729,5025.02,Madison St & Forest Ave,40.70555,-73.90245,0.1902908951168684,0.048657153838762374,224683.6011,54692.263,7840.0,POINT (-73.90245 40.70555)
1730,1730,5027.02,Bushwick Ave & McKibbin St,40.705517,-73.93936,0.05260369520716326,0.05314131514045034,195880.2664,29390.9269,8539.0,POINT (-73.93935999999999 40.705517)
1731,1731,5033.01,Broadway & Morris St,40.705945132708806,-74.01321887969969,0.20867704261210307,0.08421014701643126,447492.4862,86382.3924,13713.0,POINT (-74.01321887969969 40.70594513270881)
1732,1732,5034.03,Menahan St & Onderdonk Ave,40.70553,-73.9096,0.13482418187249592,0.03269033663239486,119877.1007,33893.5565,5216.0,POINT (-73.9096 40.70553)
1733,1733,5036.06,Leonard St & Boerum St,40.705833,-73.946445,0.07930411953076133,0.08392187950417988,310381.768,44293.4394,14525.0,POINT (-73.946445 40.705833)
1734,1734,5043.06,Suydam St & St. Nicholas Ave,40.70636,-73.91945,0.09572806711004186,0.029635501745619935,120925.1334,30066.8564,4562.0,POINT (-73.91945 40.70636)
1735,1735,5045.05,Division Ave & Hooper St,40.706842,-73.954435,0.07216339591771752,0.08664440600877615,340039.8651,49552.9617,14325.0,POINT (-73.954435 40.706842)
1736,1736,5051.01,Wyckoff Av & Jefferson St,40.707165,-73.923711,0.17756938439023484,0.09569280292111079,384470.8184,49856.5533,14579.0,POINT (-73.923711 40.707165)
1737,1737,5051.02,Irving Ave & Jefferson St,40.70538,-73.92535,0.1491569926113067,0.08533519105730118,351528.3494,46957.3788,13902.0,POINT (-73.92534999999999 40.70538)
1738,1738,5059.02,McKibbin St & Bogart St,40.706237,-73.933871,0.08800690385121737,0.1060704333621601,375737.1522,45281.1449,17765.0,POINT (-73.933871 40.706237)
1739,1739,5062.01,Kent Ave & S 11 St,40.707644,-73.968415,0.019927142306515076,0.12164889017007784,522480.0009,18190.4665,20096.0,POINT (-73.96841499999999 40.707644)
1740,1740,5065.04,John St & William St,40.708621,-74.007222,0.24105417169240284,0.18091588994586977,770059.1678,85648.7991,34108.0,POINT (-74.007222 40.708621)
1741,1741,5065.1,Maiden Ln & Pearl St,40.707064,-74.007318,0.170101711002698,0.16426043368245732,713735.2637,61869.2984,29875.0,POINT (-74.007318 40.707064)
1742,1742,5065.12,William St & Pine St,40.707179,-74.008873,0.26918808291074264,0.24961564331699818,1001916.9164,90052.8849,47367.0,POINT (-74.00887299999999 40.707179)
1743,1743,5065.14,Cliff St & Fulton St,40.70838,-74.00495,0.23569733938459567,0.20882178661798148,831514.4523,72742.3845,40993.0,POINT (-74.00494999999999 40.70838)
1744,1744,5066.03,Fairview Ave & Linden St,40.70694,-73.90632,0.13629659535697652,0.027845840940392684,108226.5663,33727.7564,4289.0,POINT (-73.90631999999999 40.70694)
1745,1745,5068.02,Montrose Ave & Bushwick Ave,40.707677,-73.940161,0.15599113732142303,0.18366243874315363,655659.0174,79261.0105,29221.0,POINT (-73.940161 40.707677)
1746,1746,5073.07,Greenwich St & Rector St,40.70806582380646,-74.0135595202446,0.08016620438569201,0.04560632266743538,213833.0506,33976.918,7870.0,POINT (-74.0135595202446 40.70806582380646)
1747,1747,5074.08,Woodward Ave & Harman St,40.70793,-73.91092,0.1396602495527699,0.03417971877902694,106398.7005,29015.6097,5930.0,POINT (-73.91092 40.70793)
